id,created_at,updated_at,deleted_at,name,vehicle_make_id,vehicle_type_id,code,vehicle_utility_id
773,2025-06-26 18:57:25,2025-07-03 12:28:05,,ML-300,25,2,715,
790,2025-06-26 18:57:25,2025-07-03 12:28:05,,C250,25,1,737,
800,2025-06-26 18:57:25,2025-07-03 12:28:05,,O500,25,7,653,
813,2025-06-26 18:57:25,2025-07-03 12:28:05,,C-180,25,1,629,
816,2025-06-26 18:57:25,2025-07-03 12:28:05,,CLASE S,25,1,311,
860,2025-06-26 18:57:25,2025-07-03 12:28:05,,CLASE CLK,25,1,303,
862,2025-06-26 18:57:25,2025-07-03 12:28:05,,CLASE CL,25,1,301,
886,2025-06-26 18:57:25,2025-07-03 12:28:05,,CLASE C,25,1,300,
889,2025-06-26 18:57:25,2025-07-03 12:28:05,,SMART,25,1,315,
898,2025-06-26 18:57:25,2025-07-03 12:28:05,,COOPER,26,1,327,
901,2025-06-26 18:57:25,2025-07-03 12:28:05,,ROSA,27,12,655,
902,2025-06-26 18:57:25,2025-07-03 12:28:05,,FUSO,27,9,633,
907,2025-06-26 18:57:25,2025-07-03 12:28:05,,MONTERO,27,2,341,
908,2025-06-26 18:57:25,2025-07-03 12:28:05,,PAJERO,27,2,345,
909,2025-06-26 18:57:25,2025-07-03 12:28:05,,L200,27,4,338,
911,2025-06-26 18:57:25,2025-07-03 12:28:05,,NATIVA,27,2,343,
912,2025-06-26 18:57:25,2025-07-03 12:28:05,,CANTER,27,9,654,
914,2025-06-26 18:57:25,2025-07-03 12:28:05,,OUTLANDER,27,2,344,
920,2025-06-26 18:57:25,2025-07-03 12:28:05,,ASX,27,2,328,
921,2025-06-26 18:57:25,2025-07-03 12:28:05,,GALANT,27,1,335,
922,2025-06-26 18:57:25,2025-07-03 12:28:05,,LANCER EVOLUTION,27,1,697,
924,2025-06-26 18:57:25,2025-07-03 12:28:05,,MONTERO SPORT,27,2,342,
925,2025-06-26 18:57:25,2025-07-03 12:28:05,,L 300,27,10,339,
926,2025-06-26 18:57:25,2025-07-03 12:28:05,,ZINGER,27,6,348,
927,2025-06-26 18:57:25,2025-07-03 12:28:05,,MIRAGE,27,1,600,
931,2025-06-26 18:57:25,2025-07-03 12:28:05,,LANCER,27,1,340,
932,2025-06-26 18:57:25,2025-07-03 12:28:05,,ENDEAVOR,27,2,333,
933,2025-06-26 18:57:25,2025-07-03 12:28:05,,GRANDIS,27,6,336,
934,2025-06-26 18:57:25,2025-07-03 12:28:05,,RAIDER,27,4,346,
935,2025-06-26 18:57:25,2025-07-03 12:28:05,,ECLIPSE,27,1,332,
936,2025-06-26 18:57:25,2025-07-03 12:28:05,,CHALLENGER,27,2,329,
938,2025-06-26 18:57:25,2025-07-03 12:28:05,,CHARIOT,27,6,330,
942,2025-06-26 18:57:25,2025-07-03 12:28:05,,COLT,27,1,331,
950,2025-06-26 18:57:25,2025-07-03 12:28:05,,SEDIA,27,1,347,
952,2025-06-26 18:57:25,2025-07-03 12:28:05,,PATROL,28,2,370,
953,2025-06-26 18:57:25,2025-07-03 12:28:05,,GT-R,28,1,361,
955,2025-06-26 18:57:25,2025-07-03 12:28:05,,TITAN,28,4,382,
959,2025-06-26 18:57:25,2025-07-03 12:28:05,,ARMADA,28,2,355,
960,2025-06-26 18:57:25,2025-07-03 12:28:05,,SKYLINE,28,1,378,
961,2025-06-26 18:57:25,2025-07-03 12:28:05,,MURANO,28,2,366,
963,2025-06-26 18:57:25,2025-07-03 12:28:05,,FRONTIER,28,4,360,
967,2025-06-26 18:57:25,2025-07-03 12:28:05,,MAXIMA,28,1,364,
968,2025-06-26 18:57:25,2025-07-03 12:28:05,,PATHFINDER,28,2,369,
969,2025-06-26 18:57:25,2025-07-03 12:28:05,,NAVARA,28,4,367,
970,2025-06-26 18:57:25,2025-07-03 12:28:05,,URVAN,28,10,383,
971,2025-06-26 18:57:25,2025-07-03 12:28:05,,370 Z,28,1,350,
972,2025-06-26 18:57:25,2025-07-03 12:28:05,,X-TRAIL,28,2,387,
974,2025-06-26 18:57:25,2025-07-03 12:28:05,,ALTIMA,28,1,354,
975,2025-06-26 18:57:25,2025-07-03 12:28:05,,XTERRA,28,2,386,
976,2025-06-26 18:57:25,2025-07-03 12:28:05,,ROGUE,28,2,376,
977,2025-06-26 18:57:25,2025-07-03 12:28:05,,350 Z,28,1,349,
978,2025-06-26 18:57:25,2025-07-03 12:28:05,,D 22,28,4,359,
979,2025-06-26 18:57:25,2025-07-03 12:28:05,,SENTRA,28,1,377,
980,2025-06-26 18:57:25,2025-07-03 12:28:05,,QASHQAI,28,2,373,
981,2025-06-26 18:57:25,2025-07-03 12:28:05,,KICKS,28,2,580,
983,2025-06-26 18:57:25,2025-07-03 12:28:05,,JUKE,28,2,362,
987,2025-06-26 18:57:25,2025-07-03 12:28:05,,QUEST,28,6,374,
989,2025-06-26 18:57:25,2025-07-03 12:28:05,,VERSA,28,1,385,
990,2025-06-26 18:57:25,2025-07-03 12:28:05,,CABSTAR,28,9,635,
991,2025-06-26 18:57:25,2025-07-03 12:28:05,,D 21,28,4,358,
993,2025-06-26 18:57:25,2025-07-03 12:28:05,,NOTE,28,1,368,
995,2025-06-26 18:57:25,2025-07-03 12:28:05,,TEANA,28,1,379,
998,2025-06-26 18:57:25,2025-07-03 12:28:05,,MARCH,28,1,363,
1002,2025-06-26 18:57:25,2025-07-03 12:28:05,,PRIMERA,28,1,372,
1006,2025-06-26 18:57:25,2025-07-03 12:28:05,,TIIDA,28,1,570,
1011,2025-06-26 18:57:25,2025-07-03 12:28:05,,ALMERA,28,1,353,
1014,2025-06-26 18:57:25,2025-07-03 12:28:05,,AD-WAGON,28,5,596,
1015,2025-06-26 18:57:25,2025-07-03 12:28:05,,CUBE,28,1,357,
1019,2025-06-26 18:57:25,2025-07-03 12:28:05,,PLATINA,28,1,371,
1021,2025-06-26 18:57:25,2025-07-03 12:28:05,,LATIO,28,1,690,
1023,2025-06-26 18:57:25,2025-07-03 12:28:05,,MISTRAL,28,2,365,
1025,2025-06-26 18:57:25,2025-07-03 12:28:05,,WINGROAD,28,5,581,
1042,2025-06-26 18:57:25,2025-07-03 12:28:05,,PARTNER,29,5,392,
1048,2025-06-26 18:57:25,2025-07-03 12:28:05,,407,29,1,390,
1049,2025-06-26 18:57:25,2025-07-03 12:28:05,,607,29,1,391,
